Unidad de negocio;Documento;Nombre;Dirección;Ciudad;Teléfono 1;Teléfono 2;Monto
ALBOY;1098713881;;cra 2b 23 14;Bogota;3000000000;;
ALBOY;1012421243;;cra 9 123 12;Bogota;3000000000;;
ALBOY;53892056;;cra 19 12 13;Bogota;3000000000;3173634779;
ALBOY;76324277;;cra 27 21 08;Bogota;3000000000;;
ALBOY;1035231612;;cra 12 11 12;Bogota;3000000000;;
ALBOY;52951804;;Cra 20 45 13;Bogota;3000000000;;
ALBOY;75100440;;Cra 22 23 14;Bogota;3000000000;;
ALBOY;1088301741;;Cra 27 21 34;Bogota;3000000000;;
ALBOY;1032466434;;cra 18 12 13;Bogota;3000000000;;
ALBOY;70879568;;cra 2b 23 14;Bogota;3000000000;;
ALBOY;1116803164;;cra 9 123 12;Bogota;3000000000;;
ALBOY;94403687;;cra 19 12 13;Bogota;3000000000;3173634779;
ALBOY;1152454223;;cra 27 21 08;Bogota;3000000000;;
ALBOY;18611515;;cra 12 11 12;Bogota;3000000000;;
ALBOY;1085255863;;Cra 20 45 13;Bogota;3000000000;;
ALBOY;98552267;;Cra 22 23 14;Bogota;3000000000;;
ALBOY;1098688880;;Cra 27 21 34;Bogota;3000000000;;
ALBOY;1067941766;;cra 18 12 13;Bogota;3000000000;;
ALBOY;1116246024;;cra 2b 23 14;Bogota;3000000000;;
ALBOY;1118547150;;cra 9 123 12;Bogota;3000000000;;
